Step,Value
29632,-0.944597542
29648,-0.93493557
29680,-1.424191952
29712,-1.39313674
29752,-1.366734982
29784,-0.82957679
29808,0.105575457
29840,1.331543446
29864,1.80741179
29896,1.871823788
29920,2.794334412
29952,1.842449784
29992,2.317220926
30016,2.333906174
